COUNTY_ID,COUNTY,TOWN_ID,TOWN,V_ID,VILLAGE,A0A14_CNT,A0A14_M_CNT,A0A14_F_CNT,A15A64_CNT,A15A64_M_CNT,A15A64_F_CNT,A65UP_CNT,A65UP_M_CNT,A65UP_F_CNT,INFO_TIME
縣市代碼,縣市名稱,鄉鎮市區代碼,鄉鎮市區名稱,村里代碼,村里名稱,0-14歲人口數,0-14歲男性人口數,0-14歲女性人口數,15-64歲人口數,15-64歲男性人口數,15-64歲女性人口數,65歲以上人口數,65歲以上男性人口數,65歲以上女性人口數,資料時間
"10015","花蓮縣","10015120","萬榮鄉","10015120-002","見晴村",79,51,28,470,248,222,64,25,39,"114Y12M"
"10015","花蓮縣","10015120","萬榮鄉","10015120-003","萬榮村",132,67,65,697,369,328,130,62,68,"114Y12M"
"10015","花蓮縣","10015120","萬榮鄉","10015120-004","明利村",81,41,40,527,276,251,124,62,62,"114Y12M"
"10015","花蓮縣","10015120","萬榮鄉","10015120-005","馬遠村",183,80,103,959,516,443,147,72,75,"114Y12M"
"10015","花蓮縣","10015120","萬榮鄉","10015120-006","紅葉村",152,72,80,886,483,403,164,77,87,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-001","崙山村",123,62,61,468,267,201,72,32,40,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-002","立山村",146,79,67,796,452,344,155,64,91,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-003","太平村",140,75,65,624,330,294,85,47,38,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-004","卓溪村",134,62,72,626,344,282,137,63,74,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-005","卓清村",209,105,104,883,504,379,152,74,78,"114Y12M"
"10015","花蓮縣","10015130","卓溪鄉","10015130-006","古風村",146,72,74,812,460,352,143,68,75,"114Y12M"
